Elapsed time [s]	Value [0,1E-05]
2935.010	8.88427E-7
2937.029	8.80004E-7
2939.052	8.77223E-7
2943.090	8.88144E-7
2945.114	8.88480E-7
2947.138	8.88602E-7
2951.170	8.86405E-7
2953.194	8.77153E-7
2955.213	8.85819E-7
2957.237	8.80002E-7
2959.255	8.77376E-7
2961.274	8.88585E-7
2963.293	8.88679E-7
2965.317	8.81478E-7
2967.335	8.77237E-7
2971.378	8.78583E-7
2973.397	8.84159E-7
2975.415	8.88531E-7
2977.439	8.78411E-7
2979.458	8.84265E-7
2981.492	8.81581E-7
2983.501	8.77203E-7
2985.519	8.77309E-7
2989.562	8.85153E-7
2991.581	8.88575E-7
2993.605	8.88678E-7
2995.623	8.79739E-7
2997.642	8.77148E-7
2999.661	8.77300E-7
3001.680	8.77140E-7
3003.704	8.87859E-7
3005.722	8.88475E-7
3007.746	8.83100E-7
3009.765	8.88344E-7
3013.808	8.77233E-7
3019.864	8.88419E-7
3021.888	8.88635E-7
3025.930	8.81982E-7
3027.949	8.77350E-7
3029.968	8.85671E-7
3031.986	8.81411E-7
3034.010	8.77287E-7
3036.029	8.88459E-7
3042.090	8.78479E-7
3044.114	8.77240E-7
3048.167	8.81768E-7
3050.171	8.88607E-7
3052.194	8.79839E-7
3054.213	8.88028E-7
3056.232	8.78831E-7
3058.256	8.77381E-7
3062.293	8.77589E-7
3064.317	8.88461E-7
3068.355	8.88551E-7
3070.379	8.79954E-7
3072.397	8.77155E-7
3076.440	8.82739E-7
3078.459	8.87864E-7
3080.477	8.88572E-7
3086.544	8.88440E-7
3088.563	8.77452E-7
3090.581	8.77343E-7
3094.624	8.88670E-7
3100.680	8.82797E-7
3102.704	8.77131E-7
3106.742	8.88475E-7
3108.765	8.77183E-7
3110.784	8.88591E-7
3112.808	8.88680E-7
3116.846	8.79833E-7
3118.864	8.77483E-7
3122.912	8.88781E-7
3128.968	8.78004E-7
3130.987	8.88713E-7
3133.011	8.77545E-7
3135.030	8.84097E-7
3137.054	8.77978E-7
3139.072	8.87562E-7
3141.091	8.88718E-7
3145.134	8.87225E-7
3147.152	8.77241E-7
3149.171	8.77441E-7
3153.214	8.83603E-7
3155.232	8.88733E-7
3163.318	8.77626E-7
3165.336	8.77457E-7
3169.374	8.88452E-7
3171.398	8.88738E-7
3175.440	8.84222E-7
3177.459	8.77348E-7
3179.478	8.77474E-7
3181.497	8.85040E-7
3183.521	8.77508E-7
3185.539	8.88272E-7
3187.558	8.88789E-7
3189.582	8.88662E-7
3191.601	8.78351E-7
3193.625	8.77540E-7
3199.681	8.88760E-7
3201.705	8.83414E-7
3203.723	8.77391E-7
3205.742	8.81316E-7
3207.766	8.77329E-7
3209.785	8.77470E-7
3213.833	8.80955E-7
3215.846	8.88744E-7
3219.884	8.86245E-7
3221.907	8.77358E-7
3225.960	8.84470E-7
3227.969	8.85520E-7
3229.988	8.88896E-7
3234.035	8.88792E-7
3238.068	8.77776E-7
3240.092	8.77503E-7
3244.134	8.88476E-7
3246.153	8.88889E-7
3248.172	8.88793E-7
3250.196	8.86426E-7
3252.214	8.77635E-7
3254.233	8.77511E-7
3256.252	8.86966E-7
3258.276	8.77448E-7
3260.294	8.88535E-7
3262.318	8.88773E-7
3266.356	8.88674E-7
3268.374	8.77491E-7
3272.417	8.78406E-7
3274.441	8.88540E-7
3276.460	8.88653E-7
3278.478	8.78664E-7
3280.502	8.88560E-7
3282.521	8.77358E-7
3284.540	8.77454E-7
3290.601	8.88696E-7
3296.663	8.77406E-7
3298.686	8.77584E-7
3302.724	8.77446E-7
3304.748	8.88738E-7
3308.790	8.88094E-7
3310.809	8.79834E-7
3312.828	8.77490E-7
3320.908	8.88777E-7
3322.932	8.87859E-7
3324.956	8.79120E-7
3326.975	8.77371E-7
3328.993	8.77579E-7
3331.012	8.84360E-7
3333.031	8.77635E-7
3335.055	8.86576E-7
3337.073	8.88786E-7
3339.092	8.84766E-7
3341.111	8.78140E-7
3343.135	8.77399E-7
3349.196	8.87763E-7
3351.215	8.88817E-7
3353.239	8.77506E-7
3355.257	8.88341E-7
3357.276	8.77376E-7
3359.295	8.77483E-7
3363.338	8.77592E-7
3365.361	8.88704E-7
3367.380	8.88896E-7
3369.399	8.79919E-7
3371.418	8.77407E-7
3373.442	8.77535E-7
3375.460	8.77418E-7
3379.529	8.88550E-7
3381.522	8.88717E-7
3385.564	8.78978E-7
3387.583	8.77795E-7
3389.602	8.77441E-7
3395.663	8.88654E-7
3397.687	8.88856E-7
3399.711	8.79736E-7
3401.730	8.77560E-7
3405.767	8.85201E-7
3407.786	8.77491E-7
3409.805	8.87897E-7
3411.828	8.88753E-7
3415.871	8.83852E-7
3417.890	8.77276E-7
3421.932	8.82916E-7
3423.956	8.88662E-7
3427.989	8.77540E-7
3430.013	8.88629E-7
3432.031	8.77728E-7
3434.055	8.77433E-7
3436.074	8.77532E-7
3440.111	8.88604E-7
3442.140	8.88758E-7
3444.154	8.88648E-7
3446.173	8.77410E-7
3448.197	8.77297E-7
