Elapsed time [s]	Value [-1,361]
2356.471	280.1200
2358.629	228.6400
2360.772	177.1600
2362.924	125.6800
2365.077	73.40800
2367.224	21.92800
2369.382	330.4480
2371.530	278.9680
2373.677	227.4880
2375.825	176.0080
2377.977	123.7360
2380.130	72.25600
2382.282	20.77600
2384.430	329.2960
2386.577	277.8160
2388.730	226.3360
2390.878	174.0640
2393.030	122.5840
2395.183	71.10400
2397.335	19.62400
2399.483	328.1440
2401.630	276.6640
2403.783	224.3920
2405.936	172.9120
2408.083	121.4320
2410.236	69.95200
2412.388	18.47200
2414.536	326.9920
2416.689	274.7200
2418.841	223.2400
2420.989	171.7600
2423.141	120.2800
2425.289	68.80000
2427.441	17.32000
2429.589	325.0480
2431.742	273.5680
2433.904	222.0880
2436.042	170.6080
2438.194	119.1280
2440.342	67.64800
2442.494	15.37600
2444.642	323.8960
2446.795	272.4160
2448.947	220.9360
2451.095	169.4560
2453.247	117.9760
2455.395	65.70400
2457.547	14.22400
2459.700	322.7440
2461.848	271.2640
2464.000	219.7840
2466.148	168.3040
2468.305	116.0320
2470.448	64.55200
2472.600	13.07200
2474.753	321.5920
2476.901	270.1120
2479.053	218.6320
2481.201	166.3600
2483.353	114.8800
2485.511	63.40000
2487.653	11.92000
2489.806	320.4400
2491.954	268.9600
2494.106	216.6880
2496.254	165.2080
2498.406	113.7280
2500.559	62.24800
2502.706	10.76800
2504.864	319.2880
2507.012	267.0160
2509.164	215.5360
2511.312	164.0560
2513.459	112.5760
2515.612	61.09600
2517.759	9.616000
2519.912	317.3440
2522.059	265.8640
2524.212	214.3840
2526.365	162.9040
2528.512	111.4240
2530.665	59.94400
2532.817	7.672000
2534.980	316.1920
2537.118	264.7120
2539.265	213.2320
2541.418	161.7520
2543.565	109.4800
2545.723	58.00000
2547.870	6.520000
2550.018	315.0400
2552.171	263.5600
2554.318	212.0800
2556.471	159.8080
2558.623	108.3280
2560.776	56.84800
2562.923	5.368000
2565.071	313.8880
2567.270	262.4080
2569.371	210.1360
2571.524	158.6560
2573.676	107.1760
2575.829	55.69600
2577.982	4.216000
2580.124	312.7360
2582.277	260.4640
2584.429	208.9840
2586.577	157.5040
2588.729	106.0240
2590.877	54.54400
2593.029	3.064000
2595.182	310.7920
2597.330	259.3120
2599.482	207.8320
2601.635	156.3520
2603.782	104.8720
2605.935	53.39200
2608.088	1.120000
2610.235	309.6400
2612.388	258.1600
2614.535	206.6800
2616.688	155.2000
2618.835	103.7200
2620.988	51.44800
2623.146	359.9680
2625.288	308.4880
2627.441	257.0080
2629.593	205.5280
2631.741	154.0480
2633.893	101.7760
2636.041	50.29600
2638.194	358.8160
2640.341	307.3360
2642.504	255.8560
2644.641	204.3760
2646.794	152.1040
2648.946	100.6240
2651.094	49.14400
2653.252	357.6640
2655.415	306.1840
2657.547	254.7040
2659.710	202.4320
2661.847	150.9520
2663.999	99.47200
2666.152	47.99200
2668.300	356.5120
2670.447	305.0320
2672.605	252.7600
2674.752	201.2800
2676.900	149.8000
2679.052	98.32000
2681.200	46.84000
2683.358	354.5680
2685.510	303.0880
2687.653	251.6080
2689.805	200.1280
2691.958	148.6480
2694.105	97.16800
2696.258	44.89600
2698.405	353.4160
2700.558	301.9360
2702.706	250.4560
2704.858	198.9760
2707.006	147.4960
2709.158	95.22400
2711.316	43.74400
2713.469	352.2640
2715.611	300.7840
2717.759	249.3040
2719.911	197.8240
2722.064	145.5520
2724.211	94.07200
2726.364	42.59200
2728.511	351.1120
2730.664	299.6320
2732.812	248.1520
2734.964	195.8800
2737.117	144.4000
2739.264	92.92000
2741.417	41.44000
2743.564	349.9600
2745.717	298.4800
2747.870	246.2080
2750.017	194.7280
2752.175	143.2480
2754.322	91.76800
2756.470	40.28800
2758.623	348.8080
2760.770	296.5360
2762.923	245.0560
2765.075	193.5760
2767.223	142.0960
2769.375	90.61600
2771.523	39.13600
2773.681	346.8640
2775.823	295.3840
2777.976	243.9040
2780.128	192.4240
2782.276	140.9440
2784.428	89.46400
2786.576	37.19200
2788.734	345.7120
2790.881	294.2320
2793.029	242.7520
2795.181	191.2720
2797.329	139.7920
2799.481	87.52000
2801.629	36.04000
2803.782	344.5600
2805.934	293.0800
2808.082	241.6000
2810.234	190.1200
2812.382	137.8480
2814.534	86.36800
2816.687	34.88800
2818.835	343.4080
2820.987	291.9280
2823.135	240.4480
2825.287	188.1760
2827.435	136.6960
2829.587	85.21600
2831.740	33.73600
2833.888	342.2560
2836.040	290.7760
2838.188	238.5040
2840.345	187.0240
2842.493	135.5440
2844.640	84.06400
2846.793	32.58400
2848.941	341.1040
2851.093	288.8320
2853.246	237.3520
2855.393	185.8720
2857.546	134.3920
2859.693	82.91200
2861.846	31.43200
2863.999	339.1600
2866.146	287.6800
2868.299	236.2000
2870.451	184.7200
2872.599	133.2400
2874.746	81.76000
2876.899	29.48800
2879.052	338.0080
2881.199	286.5280
2883.367	235.0480
2885.504	183.5680
2887.652	132.0880
2889.804	79.81600
2891.952	28.33600
2894.105	336.8560
2896.252	285.3760
2898.405	233.8960
2900.557	182.4160
2902.705	130.1440
2904.857	78.66400
2907.005	27.18400
2909.158	335.7040
2911.305	284.2240
2913.458	231.9520
2915.610	180.4720
2917.758	128.9920
2919.910	77.51200
2922.058	26.03200
2924.211	334.5520
2926.358	283.0720
2928.511	230.8000
2930.668	179.3200
2932.811	127.8400
2934.963	76.36000
2937.111	24.88000
2939.264	332.6080
2941.416	281.1280
2943.564	229.6480
2945.716	178.1680
2947.864	126.6880
2950.016	75.20800
2952.164	23.72800
2954.317	331.4560
2956.469	279.9760
2958.617	228.4960
2960.774	177.0160
2962.922	125.5360
2965.069	73.26400
2967.222	21.78400
2969.370	330.3040
2971.522	278.8240
2973.670	227.3440
2975.822	175.8640
2977.975	123.5920
2980.122	72.11200
2982.275	20.63200
2984.423	329.1520
2986.575	277.6720
2988.723	226.1920
2990.875	173.9200
2993.028	122.4400
2995.181	70.96000
2997.328	19.48000
2999.476	328.0000
3001.628	276.5200
3003.781	224.2480
3005.928	172.7680
3008.081	121.2880
3010.234	69.80800
3012.381	18.32800
3014.528	326.8480
3016.681	274.5760
3018.834	223.0960
3020.986	171.6160
3023.134	120.1360
3025.287	68.65600
3027.434	17.17600
3029.587	324.9040
3031.739	273.4240
3033.887	221.9440
3036.039	170.4640
3038.187	118.9840
3040.340	67.50400
3042.492	15.23200
3044.640	323.7520
3046.787	272.2720
3048.940	220.7920
3051.092	169.3120
3053.240	117.8320
3055.392	65.56000
3057.540	14.08000
3059.698	322.6000
3061.845	271.1200
3063.993	219.6400
3066.145	168.1600
3068.293	115.8880
3070.445	64.40800
3072.593	12.92800
3074.746	321.4480
3076.898	269.9680
3079.046	218.4880
3081.203	166.2160
3083.366	114.7360
3085.498	63.25600
3087.651	11.77600
3089.799	320.2960
3091.951	268.8160
3094.104	216.5440
3096.251	165.0640
3098.419	113.5840
3100.551	62.10400
3102.704	10.62400
3104.852	319.1440
3107.004	266.8720
3109.152	215.3920
3111.304	163.9120
3113.457	112.4320
3115.604	60.95200
3117.757	9.472000
3119.905	317.2000
3122.057	265.7200
3124.210	214.2400
3126.362	162.7600
3128.510	111.2800
3130.657	59.80000
3132.810	7.528000
3134.963	316.0480
3137.110	264.5680
3139.263	213.0880
3141.415	161.6080
3143.563	110.1280
3145.710	57.85600
3147.863	6.376000
3150.016	314.8960
3152.163	263.4160
3154.316	211.9360
3156.463	160.4560
3158.616	108.1840
3160.769	56.70400
3162.916	5.224000
3165.069	313.7440
3167.221	262.2640
3169.369	210.7840
3171.516	158.5120
3173.669	107.0320
3175.822	55.55200
3177.969	4.072000
3180.122	312.5920
3182.269	261.1120
3184.427	208.8400
3186.574	157.3600
3188.722	105.8800
3190.875	54.40000
3193.027	2.920000
3195.175	311.4400
3197.327	259.1680
3199.480	207.6880
3201.627	156.2080
3203.775	104.7280
3205.927	53.24800
3208.090	1.768000
3210.228	309.4960
3212.380	258.0160
3214.528	206.5360
3216.680	155.0560
3218.828	103.5760
3220.986	51.30400
3223.149	359.8240
3225.281	308.3440
3227.433	256.8640
3229.586	205.3840
3231.733	153.9040
3233.881	102.4240
3236.033	50.15200
3238.186	358.6720
3240.334	307.1920
3242.486	255.7120
3244.634	204.2320
3246.786	151.9600
3248.939	100.4800
3251.092	49.00000
3253.239	357.5200
3255.387	306.0400
3257.539	254.5600
3259.687	202.2880
3261.839	150.8080
3263.992	99.32800
3266.139	47.84800
3268.292	356.3680
3270.440	304.8880
3272.592	252.6160
3274.745	201.1360
3276.892	149.6560
3279.045	98.17600
3281.192	46.69600
3283.345	355.2160
3285.498	302.9440
3287.645	251.4640
3289.808	199.9840
3291.961	148.5040
3294.103	97.02400
3296.251	45.54400
3298.403	353.2720
3300.551	301.7920
