Elapsed time [s]	Value [-1,361]
3155.660	179.5270
3157.813	128.0630
3159.960	76.58880
3162.108	24.29380
3164.260	332.8210
3166.413	281.3550
3168.560	229.8590
3170.713	178.3830
3172.866	126.9080
3175.013	74.61740
3177.166	23.15480
3179.313	331.6790
3181.466	280.1820
3183.618	228.7130
3185.771	177.2260
3187.919	124.9530
3190.066	73.48840
3192.219	22.00690
3194.366	330.5180
3196.519	279.0480
3198.671	227.5480
3200.824	175.2850
3202.971	123.8220
3205.119	72.32260
3207.272	20.84330
3209.424	329.3750
3211.572	277.8820
3213.724	225.6120
3215.872	174.1390
3218.024	122.6420
3220.177	71.17340
3222.325	19.70950
3224.477	328.2040
3226.625	275.9510
3228.777	224.4780
3230.925	172.9850
3233.077	121.5130
3235.230	70.03300
3237.378	18.54140
3239.530	326.2750
3241.678	274.7940
3243.830	223.3050
3245.983	171.8360
3248.130	120.3400
3250.283	68.86010
3252.446	16.61350
3254.583	325.1140
3256.731	273.6330
3258.883	222.1650
3261.036	170.6700
3263.183	119.2030
3265.352	66.93660
3267.484	15.44110
3269.636	323.9690
3271.789	272.4970
3273.936	221.0010
3276.089	169.5300
3278.236	117.2570
3280.389	65.77210
3282.537	14.30020
3284.689	322.8170
3286.842	271.3360
3288.989	219.8580
3291.142	167.5840
3293.289	116.1050
3295.442	64.63480
3297.595	13.14540
