Elapsed time [s]	Value [-1E+100,1E+100]
1970.527	0.7519000
1972.628	0.7527000
1974.729	0.7532000
1976.830	0.7537000
1978.931	0.7539000
1981.033	0.7545000
1983.134	0.7552000
1985.230	0.7556000
1987.331	0.7562000
1989.432	0.7566000
1991.533	0.7570000
1993.634	0.7577000
1995.735	0.7580000
1997.837	0.7584000
1999.938	0.7592000
2002.039	0.7595000
2004.135	0.7600000
2006.236	0.7602000
2008.337	0.7608000
2010.438	0.7616000
2012.539	0.7621000
2014.640	0.7623000
2016.742	0.7629000
2018.843	0.7635000
2020.944	0.7637000
2023.045	0.7641000
2025.141	0.7648000
2027.242	0.7650000
2029.343	0.7656000
2031.444	0.7661000
2033.546	0.7669000
2035.647	0.7674000
2037.748	0.7677000
2039.849	0.7683000
2041.950	0.7687000
2044.046	0.7690000
2046.147	0.7697000
2048.248	0.7702000
2050.349	0.7707000
2052.461	0.7709000
2054.562	0.7718000
2056.653	0.7722000
2058.754	0.7729000
2060.855	0.7735000
2062.956	0.7740000
2065.052	0.7743000
2067.153	0.7748000
2069.255	0.7755000
2071.356	0.7760000
2073.457	0.7762000
2075.558	0.7768000
2077.664	0.7775000
2079.760	0.7780000
2081.861	0.7784000
2083.957	0.7791000
2086.058	0.7797000
2088.160	0.7802000
2090.261	0.7806000
2092.362	0.7812000
2094.463	0.7817000
2096.564	0.7819000
2098.665	0.7823000
2100.766	0.7831000
2102.862	0.7834000
2104.964	0.7841000
2107.065	0.7847000
2109.166	0.7852000
2111.267	0.7857000
2113.368	0.7860000
2115.469	0.7866000
2117.570	0.7873000
2119.671	0.7878000
2121.767	0.7881000
2123.869	0.7887000
2125.970	0.7893000
2128.071	0.7895000
2130.172	0.7902000
2132.278	0.7909000
2134.374	0.7911000
2136.475	0.7918000
2138.577	0.7923000
2140.678	0.7928000
2142.779	0.7932000
2144.875	0.7938000
2146.976	0.7941000
2149.077	0.7948000
2151.178	0.7953000
2153.279	0.7958000
2155.380	0.7963000
2157.482	0.7968000
2159.583	0.7975000
2161.684	0.7981000
2163.785	0.7984000
2165.881	0.7990000
2167.987	0.7995000
2170.088	0.7997000
2172.184	0.8002000
2174.286	0.8010000
2176.387	0.8016000
2178.488	0.8018000
2180.589	0.8024000
2182.690	0.8031000
2184.786	0.8038000
2186.887	0.8043000
2188.988	0.8047000
2191.089	0.8052000
2193.191	0.8056000
2195.292	0.8062000
2197.393	0.8066000
2199.494	0.8069000
2201.595	0.8076000
2203.691	0.8081000
2205.792	0.8084000
2207.893	0.8093000
2209.995	0.8098000
2212.096	0.8103000
2214.197	0.8107000
2216.298	0.8112000
2218.399	0.8117000
2220.500	0.8120000
2222.601	0.8127000
2224.697	0.8131000
2226.798	0.8134000
2228.900	0.8141000
2231.001	0.8145000
2233.102	0.8150000
2235.203	0.8155000
2237.304	0.8162000
2239.416	0.8167000
2241.506	0.8172000
2243.608	0.8174000
2245.704	0.8182000
2247.805	0.8187000
2249.906	0.8192000
2252.007	0.8194000
2254.108	0.8200000
2256.209	0.8207000
2258.310	0.8213000
2260.411	0.8219000
2262.507	0.8224000
2264.609	0.8232000
2266.735	0.8236000
2268.811	0.8241000
2270.912	0.8243000
2273.013	0.8248000
2275.114	0.8256000
2277.215	0.8259000
2279.317	0.8263000
2281.418	0.8270000
2283.514	0.8276000
2285.615	0.8280000
2287.716	0.8285000
2289.817	0.8291000
2291.918	0.8296000
2294.019	0.8304000
2296.120	0.8311000
2298.222	0.8313000
2300.318	0.8320000
2302.419	0.8325000
2304.520	0.8330000
2306.621	0.8335000
2308.722	0.8338000
2310.823	0.8345000
2312.924	0.8350000
2315.026	0.8355000
2317.127	0.8360000
2319.223	0.8367000
2321.324	0.8370000
2323.425	0.8376000
2325.526	0.8378000
2327.627	0.8386000
2329.728	0.8391000
2331.829	0.8396000
2333.931	0.8401000
2336.032	0.8405000
2338.128	0.8410000
2340.229	0.8413000
2342.345	0.8422000
2344.431	0.8428000
2346.532	0.8433000
2348.633	0.8437000
2350.735	0.8443000
2352.836	0.8448000
2354.937	0.8450000
2357.033	0.8455000
2359.139	0.8463000
2361.235	0.8468000
2363.336	0.8472000
2365.437	0.8479000
2367.538	0.8482000
2369.640	0.8489000
2371.741	0.8494000
2373.842	0.8498000
2375.943	0.8501000
2378.039	0.8508000
2380.140	0.8513000
2382.241	0.8517000
2384.342	0.8519000
2386.444	0.8525000
2388.545	0.8531000
2390.646	0.8533000
2392.747	0.8540000
2394.848	0.8545000
2396.944	0.8552000
2399.045	0.8557000
2401.146	0.8562000
2403.247	0.8567000
2405.349	0.8572000
2407.450	0.8576000
2409.551	0.8579000
2411.652	0.8587000
2413.753	0.8592000
2415.854	0.8597000
2417.950	0.8602000
2420.051	0.8608000
2422.153	0.8613000
2424.254	0.8620000
2426.355	0.8624000
2428.456	0.8626000
2430.557	0.8632000
2432.658	0.8638000
2434.759	0.8640000
2436.855	0.8646000
2438.956	0.8651000
2441.058	0.8656000
2443.159	0.8659000
2445.260	0.8665000
2447.361	0.8668000
2449.462	0.8676000
2451.563	0.8681000
2453.664	0.8689000
2455.760	0.8694000
2457.867	0.8699000
2459.963	0.8701000
2462.064	0.8705000
2464.165	0.8712000
2466.271	0.8717000
2468.367	0.8721000
2470.468	0.8728000
2472.569	0.8732000
2474.665	0.8735000
2476.777	0.8739000
2478.868	0.8746000
2480.969	0.8749000
2483.070	0.8751000
2485.171	0.8758000
2487.272	0.8761000
2489.373	0.8765000
2491.475	0.8772000
2493.571	0.8775000
2495.672	0.8783000
2497.778	0.8785000
2499.874	0.8793000
2501.975	0.8797000
2504.076	0.8799000
2506.177	0.8806000
2508.278	0.8810000
2510.374	0.8813000
2512.476	0.8819000
2514.587	0.8824000
2516.678	0.8829000
2518.779	0.8835000
2520.880	0.8840000
2522.981	0.8841000
2525.082	0.8848000
2527.184	0.8853000
2529.285	0.8858000
2531.381	0.8863000
2533.482	0.8865000
2535.583	0.8871000
2537.684	0.8878000
2539.785	0.8883000
2541.886	0.8888000
2543.987	0.8896000
2546.089	0.8901000
2548.185	0.8903000
2550.286	0.8908000
2552.387	0.8914000
2554.488	0.8917000
2556.589	0.8924000
2558.690	0.8927000
2560.807	0.8934000
2562.903	0.8938000
2564.994	0.8942000
2567.095	0.8947000
2569.191	0.8954000
2571.292	0.8959000
2573.393	0.8962000
2575.494	0.8970000
2577.595	0.8975000
2579.696	0.8981000
2581.798	0.8982000
2583.899	0.8990000
2586.000	0.8994000
2588.101	0.8997000
2590.197	0.9000000
2592.298	0.9008000
2594.399	0.9013000
2596.500	0.9015000
2598.602	0.9024000
2600.703	0.9029000
2602.804	0.9031000
2604.905	0.9039000
2607.006	0.9044000
2609.102	0.9047000
2611.203	0.9051000
2613.304	0.9059000
2615.436	0.9064000
2617.507	0.9066000
2619.608	0.9076000
2621.709	0.9081000
2623.810	0.9086000
2625.916	0.9091000
2628.012	0.9095000
2630.108	0.9098000
2632.209	0.9105000
2634.311	0.9110000
2636.412	0.9112000
2638.513	0.9120000
2640.614	0.9124000
2642.715	0.9130000
2644.816	0.9135000
2646.917	0.9142000
2649.013	0.9147000
2651.114	0.9150000
2653.216	0.9153000
2655.317	0.9157000
2657.418	0.9165000
2659.519	0.9171000
2661.620	0.9173000
2663.721	0.9181000
2665.822	0.9183000
2667.918	0.9188000
2670.020	0.9197000
2672.121	0.9201000
2674.222	0.9209000
2676.323	0.9214000
2678.424	0.9217000
2680.525	0.9225000
2682.626	0.9227000
2684.728	0.9235000
2686.823	0.9240000
2688.925	0.9244000
2691.026	0.9250000
2693.127	0.9252000
2695.228	0.9260000
2697.329	0.9266000
2699.430	0.9271000
2701.531	0.9276000
2703.627	0.9284000
2705.729	0.9288000
2707.830	0.9291000
2709.931	0.9298000
2712.037	0.9303000
2714.133	0.9308000
2716.234	0.9311000
2718.335	0.9316000
2720.437	0.9323000
2722.532	0.9327000
2724.634	0.9331000
2726.735	0.9338000
2728.836	0.9343000
2730.937	0.9347000
2733.038	0.9352000
2735.139	0.9357000
