[Header]
TITLE,Bi-O-S_bestsample_Add.dat
BYAPP,HeatCapacity,3.8.6,1.7
INFO,,MASS:Sample Mass (mg)
INFO,,MASSERR:Sample Mass Error (mg)
INFO,,MOLWGHT:Formula Weight (g/mole)
INFO,,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.8.6 Build 1,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 12, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
28485014.41,,5905,2.2033,2.2176,0.174,9.4E-6,2.2081508,0.026582803,0,0,0.17195265,0.003152,0.17195265,0.003152,11.330817,0.060455261,0,100,,,1,,,,2.8443E-6,0.1208839,4.8759301,0,0
28485029.89,,5905,2.20303,2.2174,0.174,9.4E-6,2.208865,0.026547419,0,0,0.17251786,0.003537,0.17251786,0.003537,8.8435553,0.060727648,0,100,,,1,,,,2.8408E-6,0.1209105,4.8790847,0,0
28485045.33,,5905,2.20343,2.218,0.174,9.4E-6,2.2085768,0.026806273,0,0,0.17051212,0.003057,0.17051212,0.003057,77.964034,0.060109158,0,100,,,1,,,,2.8367E-6,0.1214553,4.8778116,0,0
28485060.81,,5905,2.20442,2.2195,0.174,9.4E-6,2.2087769,0.026594927,0,0,0.17135755,0.002998,0.17135755,0.002998,150.27663,0.060439337,0,100,,,1,,,,2.8352E-6,0.1202183,4.8786955,0,0
28485076.3,,5905,2.20385,2.2203,0.174,9.3E-6,2.2097797,0.026666189,0,0,0.17123085,0.003056,0.17123085,0.003056,25.822402,0.060251366,0,100,,,1,,,,2.8419E-6,0.1208787,4.8831262,0,0
28485095.34,,5905,2.20488,2.2197,0.174,9.3E-6,2.2091274,0.02667959,0,0,0.17094145,0.002983,0.17094145,0.002983,95.334726,0.06023345,0,100,,,1,,,,2.838E-6,0.1205027,4.8802438,0,0
28485110.69,,5905,2.20469,2.2215,0.174,9.3E-6,2.2101855,0.026692119,0,0,0.17118899,0.002972,0.17118899,0.002972,24.656047,0.060500208,0,100,,,1,,,,2.8296E-6,0.1204669,4.8849201,0,0
28485131.69,,5905,2.2054,2.2199,0.174,9.3E-6,2.210012,0.026768991,0,0,0.17100593,0.003104,0.17100593,0.003104,31.878522,0.060385717,0,100,,,1,,,,2.8319E-6,0.1210004,4.884153,0,0
28485147.2,,5905,2.20453,2.2205,0.174,9.3E-6,2.2098256,0.026841618,0,0,0.1707095,0.003169,0.1707095,0.003169,18.48335,0.060690859,0,100,,,1,,,,2.8128E-6,0.1207714,4.883329,0,0
28485162.72,,5905,2.20538,2.2197,0.174,9.4E-6,2.2104725,0.026889838,0,0,0.17080153,0.002921,0.17080153,0.002921,155.83347,0.060478484,0,100,,,1,,,,2.8242E-6,0.1213817,4.8861885,0,0
28485178.22,,5905,2.20484,2.2189,0.174,9.3E-6,2.2100729,0.026814065,0,0,0.17089927,0.002942,0.17089927,0.002942,23.005432,0.060585757,0,100,,,1,,,,2.8208E-6,0.120957,4.8844224,0,0
28485349.75,,5905,2.30351,2.3234,0.174,9.3E-6,2.3062086,0.024531244,0,0,0.20969779,0.005616,0.20969779,0.005616,36.033472,0.064842469,0,100,,,1,,,,3.234E-6,0.1211715,5.3185982,0,0
28485365.45,,5905,2.30294,2.3203,0.174,9.4E-6,2.3070918,0.026101614,0,0,0.21452135,0.005883,0.21452135,0.005883,26.256555,0.068372973,0,100,,,1,,,,3.1375E-6,0.1296849,5.3226727,0,0
