[Header]
TITLE,Bi-O-S_bestsample_Add2.dat
BYAPP,HeatCapacity,3.8.6,1.7
INFO,,MASS:Sample Mass (mg)
INFO,,MASSERR:Sample Mass Error (mg)
INFO,,MOLWGHT:Formula Weight (g/mole)
INFO,,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.8.6 Build 1,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 12, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
36015513.75,,5905,2.20515,2.2128,0.131,9.4E-6,2.2324873,0.039825828,0,0,0.17389326,0.001329,0.17389326,0.001329,78.418048,0.085512593,0,100,,,1,,,,2.0335E-6,0.1713551,4.9839993,0,0
36015529.2,,5905,2.20501,2.2126,0.131,9.3E-6,2.2324043,0.039771106,0,0,0.17433414,0.001334,0.17433414,0.001334,13.469838,0.085732967,0,100,,,1,,,,2.0335E-6,0.1710252,4.9836288,0,0
36015544.61,,5905,2.20634,2.2117,0.131,9.2E-6,2.2343073,0.039933707,0,0,0.17465193,0.002063,0.17465193,0.002063,3.2731579,0.086557806,0,100,,,1,,,,2.0177E-6,0.1714659,4.992129,0,0
36015560.06,,5905,2.20691,2.2117,0.131,9.3E-6,2.2328656,0.040067965,0,0,0.17420565,0.001392,0.17420565,0.001392,7.7974382,0.085588661,0,100,,,1,,,,2.0354E-6,0.1731156,4.9856889,0,0
36015575.55,,5905,2.20661,2.2136,0.131,9.3E-6,2.233743,0.039841422,0,0,0.17397541,0.001543,0.17397541,0.001543,6.4415985,0.085465322,0,100,,,1,,,,2.0356E-6,0.1711773,4.9896079,0,0
36015591.03,,5905,2.20644,2.2116,0.131,9.3E-6,2.2324727,0.039824077,0,0,0.1739801,0.001614,0.1739801,0.001614,0.68748397,0.085593806,0,100,,,1,,,,2.0326E-6,0.1709306,4.9839344,0,0
36015606.55,,5905,2.20647,2.2115,0.131,9.2E-6,2.232413,0.039873446,0,0,0.17389523,0.00142,0.17389523,0.00142,8.4511363,0.085518854,0,100,,,1,,,,2.0334E-6,0.1711876,4.9836677,0,0
36015621.78,,5905,2.20621,2.2132,0.131,9.4E-6,2.2338543,0.039739319,0,0,0.17396149,0.001342,0.17396149,0.001342,5.342313,0.085131533,0,100,,,1,,,,2.0434E-6,0.1710377,4.990105,0,0
36015637.2,,5905,2.20609,2.2111,0.131,9.4E-6,2.2319529,0.039783012,0,0,0.1739403,0.002206,0.1739403,0.002206,1.5761145,0.085669658,0,100,,,1,,,,2.0304E-6,0.1702631,4.9816136,0,0
36015813.72,,5905,2.30575,2.3129,0.131,9.4E-6,2.3323211,0.040312422,0,0,0.19183116,0.001778,0.19183116,0.001778,2.496965,0.089418623,0,100,,,1,,,,2.1453E-6,0.1713393,5.4397219,0,0
36015832.06,,5905,2.3046,2.3137,0.131,9.3E-6,2.3330558,0.041964483,0,0,0.19298701,0.001646,0.19298701,0.001646,2.7888953,0.092109514,0,100,,,1,,,,2.0952E-6,0.1788372,5.4431495,0,0
36015847.59,,5905,2.30499,2.3124,0.131,9.2E-6,2.3328047,0.042588574,0,0,0.1922026,0.001778,0.1922026,0.001778,3.5701209,0.090233412,0,100,,,1,,,,2.1301E-6,0.184219,5.4419775,0,0
36015863.05,,5905,2.30598,2.3142,0.131,9.3E-6,2.334089,0.041762865,0,0,0.1928334,0.001839,0.1928334,0.001839,1.6453766,0.089664139,0,100,,,1,,,,2.1506E-6,0.1804668,5.4479714,0,0
36015878.45,,5905,2.30704,2.3163,0.131,9.3E-6,2.3347153,0.042059445,0,0,0.19172786,0.001622,0.19172786,0.001622,2.4478702,0.09096517,0,100,,,1,,,,2.1077E-6,0.1793283,5.4508955,0,0
36015893.94,,5905,2.30653,2.316,0.131,9.3E-6,2.3345548,0.042153053,0,0,0.19164388,0.001787,0.19164388,0.001787,1.1284719,0.089368221,0,100,,,1,,,,2.1444E-6,0.1819303,5.450146,0,0
36015909.52,,5905,2.30706,2.3143,0.131,9.4E-6,2.3333564,0.041803469,0,0,0.19162404,0.001448,0.19162404,0.001448,1.7980151,0.089500719,0,100,,,1,,,,2.141E-6,0.1787364,5.444552,0,0
36015925.11,,5905,2.30508,2.3139,0.131,9.4E-6,2.3330541,0.042067897,0,0,0.19277045,0.001415,0.19277045,0.001415,6.4557584,0.091806287,0,100,,,1,,,,2.0998E-6,0.1790014,5.4431416,0,0
36015943.48,,5905,2.30517,2.3127,0.131,9.3E-6,2.3336537,0.042409413,0,0,0.19256214,0.001943,0.19256214,0.001943,1.0331509,0.090037396,0,100,,,1,,,,2.1387E-6,0.1836126,5.4459396,0,0
36015961.81,,5905,2.30569,2.3126,0.131,9.3E-6,2.3333823,0.041988733,0,0,0.19210294,0.002718,0.19210294,0.002718,1.0058497,0.08989467,0,100,,,1,,,,2.137E-6,0.1800748,5.4446728,0,0
36015977.25,,5905,2.30589,2.3149,0.131,9.2E-6,2.3334238,0.042036525,0,0,0.19299977,0.001565,0.19299977,0.001565,1.8392606,0.091720038,0,100,,,1,,,,2.1042E-6,0.1797893,5.4448669,0,0
36015995.53,,5905,2.30781,2.3163,0.131,9.3E-6,2.3356616,0.04251859,0,0,0.19220751,0.002827,0.19220751,0.002827,1.0318561,0.090515863,0,100,,,1,,,,2.1235E-6,0.1834401,5.4553152,0,0
36016171.06,,5905,2.40749,2.4183,0.131,9.2E-6,2.4360411,0.042608631,0,0,0.21184239,0.001383,0.21184239,0.001383,16.488633,0.094926082,0,100,,,1,,,,2.2317E-6,0.1810317,5.9342961,0,0
36016186.45,,5905,2.40786,2.4184,0.131,9.3E-6,2.4356719,0.043755234,0,0,0.21246913,0.001481,0.21246913,0.001481,41.034412,0.095222768,0,100,,,1,,,,2.2313E-6,0.1898522,5.9324976,0,0
36016201.95,,5905,2.40735,2.4179,0.131,9.2E-6,2.4364191,0.04393875,0,0,0.21220576,0.001506,0.21220576,0.001506,27.984943,0.095307855,0,100,,,1,,,,2.2265E-6,0.1904455,5.9361379,0,0
36016217.41,,5905,2.40822,2.4191,0.131,9.2E-6,2.4367993,0.043868252,0,0,0.21196985,0.001568,0.21196985,0.001568,57.971333,0.094606718,0,100,,,1,,,,2.2405E-6,0.1906157,5.9379906,0,0
36016235.72,,5905,2.40776,2.4182,0.131,9.2E-6,2.4364543,0.043748136,0,0,0.2123609,0.001589,0.2123609,0.001589,6.8474823,0.095324661,0,100,,,1,,,,2.2278E-6,0.1892134,5.9363096,0,0
36016251.19,,5905,2.40793,2.4183,0.131,9.4E-6,2.4364256,0.043912261,0,0,0.21265672,0.001608,0.21265672,0.001608,3.8809872,0.095246635,0,100,,,1,,,,2.2327E-6,0.1906493,5.9361695,0,0
36016266.59,,5905,2.40781,2.4184,0.131,9.2E-6,2.438072,0.043965493,0,0,0.21268056,0.001521,0.21268056,0.001521,6.726163,0.095986854,0,100,,,1,,,,2.2157E-6,0.1904933,5.944195,0,0
36016282.14,,5905,2.40794,2.4183,0.131,9.3E-6,2.4369001,0.04402977,0,0,0.21273409,0.001346,0.21273409,0.001346,3.0634857,0.095211322,0,100,,,1,,,,2.2343E-6,0.1919737,5.9384822,0,0
36016298.33,,5905,2.40819,2.4184,0.131,9.3E-6,2.4373554,0.043992637,0,0,0.21107,0.001634,0.21107,0.001634,1.1517361,0.094574751,0,100,,,1,,,,2.2318E-6,0.1904226,5.9407012,0,0
36016313.8,,5905,2.40821,2.4188,0.131,9.3E-6,2.4367401,0.043716221,0,0,0.21192493,0.001453,0.21192493,0.001453,15.155293,0.094943166,0,100,,,1,,,,2.2321E-6,0.1891495,5.9377023,0,0
36016332.11,,5905,2.40974,2.4219,0.131,9.4E-6,2.4377718,0.043705887,0,0,0.21260427,0.001374,0.21260427,0.001374,30.134206,0.094721336,0,100,,,1,,,,2.2445E-6,0.1898863,5.9427316,0,0
36016347.66,,5905,2.40809,2.4183,0.131,9.3E-6,2.4369088,0.043705159,0,0,0.21311072,0.001568,0.21311072,0.001568,5.4827676,0.09571469,0,100,,,1,,,,2.2265E-6,0.1894427,5.9385243,0,0
36016526.13,,5905,2.50584,2.519,0.131,9.4E-6,2.5367423,0.044594037,0,0,0.23285726,0.00171,0.23285726,0.00171,18.046657,0.10077486,0,100,,,1,,,,2.3107E-6,0.1914294,6.4350617,0,0
36016544.25,,5905,2.50734,2.5209,0.131,9.3E-6,2.5382204,0.04625103,0,0,0.23285464,0.001851,0.23285464,0.001851,1.6400342,0.10005376,0,100,,,1,,,,2.3273E-6,0.2015497,6.4425629,0,0
36016562.44,,5905,2.5079,2.5212,0.131,9.3E-6,2.5384346,0.046230461,0,0,0.23431543,0.001498,0.23431543,0.001498,6.2415819,0.10216544,0,100,,,1,,,,2.2935E-6,0.2001075,6.4436505,0,0
36016577.97,,5905,2.50861,2.5218,0.131,9.3E-6,2.5382126,0.046482486,0,0,0.23374829,0.001329,0.23374829,0.001329,17.204714,0.10000228,0,100,,,1,,,,2.3374E-6,0.2043309,6.4425232,0,0
36016597.13,,5905,2.50844,2.5217,0.131,9.4E-6,2.5388215,0.046144486,0,0,0.23291028,0.00148,0.23291028,0.00148,19.6094,0.10029695,0,100,,,1,,,,2.3222E-6,0.2000046,6.4456145,0,0
36016612.69,,5905,2.50866,2.5243,0.131,9.4E-6,2.5402054,0.045971121,0,0,0.23443028,0.001489,0.23443028,0.001489,22.916126,0.10042003,0,100,,,1,,,,2.3345E-6,0.2005939,6.4526436,0,0
36016631.14,,5905,2.50872,2.5222,0.131,9.3E-6,2.5396536,0.046067282,0,0,0.23388766,0.001416,0.23388766,0.001416,12.414326,0.10002416,0,100,,,1,,,,2.3383E-6,0.2008401,6.4498405,0,0
36016649.48,,5905,2.50896,2.5225,0.131,9.3E-6,2.539692,0.045762719,0,0,0.23358985,0.001292,0.23358985,0.001292,12.568032,0.099258212,0,100,,,1,,,,2.3534E-6,0.2000483,6.4500356,0,0
36016665.03,,5905,2.5093,2.5223,0.131,9.3E-6,2.538634,0.045981116,0,0,0.23230644,0.001666,0.23230644,0.001666,0.79481541,0.099905596,0,100,,,1,,,,2.3253E-6,0.1985164,6.4446626,0,0
36016680.47,,5905,2.50934,2.5224,0.131,9.3E-6,2.5388391,0.046131448,0,0,0.23310699,0.002865,0.23310699,0.002865,0.86290462,0.10030333,0,100,,,1,,,,2.324E-6,0.1998112,6.4457041,0,0
